url,title,partner,enroll,rating,level,duration,skills,reviews,category
https://www.coursera.org/learn/the-finance-of-climate-change,The Finance of Climate Change,EDHEC Business School,"10,106",4.6,Beginner level,,"Project Finance, Financial Analysis, Risk Management, Sustainability Reporting, Corporate Finance, Investment Management, Climate Change Mitigation, Financial Market, Sustainable Business, Environmental Social And Corporate Governance (ESG), Cash Flows, Financial Regulation, Climate Change Adaptation, Securities (Finance)",125,Business
https://www.coursera.org/learn/finanzas-operativas,Finanzas para directivos,IESE Business School,"11,611",4.9,Beginner level,1 week at 10 hours a week,"Financial Modeling, Profit and Loss (P&L) Management, Balance Sheet, Accounts Payable, Return On Investment, Financial Acumen, Cash Flow Forecasting, Business Metrics, Accounts Receivable, Forecasting, Financial Analysis, Financial Statements, Business Strategy, Working Capital, Financial Management, Operational Analysis, Inventory Management",407,Business
https://www.coursera.org/learn/comunicaciones-integradas-marketing,"Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",IE Business School,"24,506",4.8,Beginner level,,"Brand Strategy, Crisis Management, Advertising, Communication Strategies, Social Media Marketing, Marketing Management, Integrated Marketing Communications, Search Engine Optimization, Digital Marketing, Marketing Planning, Public Relations, Communication, Marketing Communications, Brand Management, Marketing Budgets, Consumer Behaviour, Marketing, Brand Loyalty",710,Business
https://www.coursera.org/learn/effectuation,Effectuation : l'entrepreneuriat pour tous,emlyon business school,"17,209",4.7,Beginner level,1 week at 10 hours a week,"Self-Starter, Resource Management, Risk Management, Adaptability, Creative Problem-Solving, Decision Making, Business Strategies, Entrepreneurship, Business, Dealing With Ambiguity, Stakeholder Management",231,Business
https://www.coursera.org/learn/strategy-formulation,Strategy Formulation,Copenhagen Business School,"46,944",4.5,,2 weeks to complete,"Market Dynamics, Resource Management, Market Opportunities, Strategic Thinking, Market Analysis, Value Propositions, Organizational Strategy, Competitive Analysis, Strategic Leadership, Global Marketing, Strategic Decision-Making, Business Strategy, Business Planning, Strategic Planning","1,503",Business
https://www.coursera.org/learn/business-implications-ai-nano-course,Business Implications of AI: A Nano-course,28DIGITAL,"35,799",4.5,Beginner level,,"Technology Strategies, Operational Efficiency, Emerging Technologies, Artificial Intelligence, Business Strategy, Automation, Strategic Decision-Making, Organizational Change, Business Leadership, Corporate Strategy, Digital Transformation, Organizational Strategy, Business Process Automation, Business Transformation, Leadership","1,222",Business
https://www.coursera.org/learn/inbound-business-strategy,Sales Training: Inbound Business Strategy,HubSpot Academy,"10,298",4.8,Beginner level,1 week to complete,"Content Marketing, Consumer Behaviour, Customer Acquisition Management, Sales Strategy, Prospecting and Qualification, Customer Retention, Sales Enablement, Service Level Agreement, Sales, Customer experience strategy (CX), Sales Management, Business Strategy, Lead Generation, Sales Process",123,Business
https://www.coursera.org/learn/automation-business-analyst,Automation Business Analysis - Concepts and Principles,UiPath,"15,265",4.7,Beginner level,1 week at 10 hours a week,"Stakeholder Management, Process Analysis, Automation, Business Strategy, Requirements Management, Business Process, Stakeholder Communications, Requirements Elicitation, Process Mapping, Business Requirements, Business Analysis, Project Scoping, Requirements Analysis, Robotic Process Automation, Stakeholder Engagement, Business Process Automation",89,Business
https://www.coursera.org/learn/navigating-business-careers-networks-teams-expertise,"Navigating Business Careers: Networks, Teams, Expertise",Coursera,,,Intermediate level,,"Team Leadership, Branding, Goal Setting, Professionalism, Business Leadership, Professional Networking, Relationship Building, Collaboration, Leadership and Management, Adaptability, Leadership, Case Studies, Professional Development, Teamwork, Personal Attributes, Mentorship",,Business
https://www.coursera.org/learn/managing-people-iese,Organizational Behavior: How to Manage People,IESE Business School,"79,400",4.7,Beginner level,2 weeks at 10 hours a week,"Leadership, Leadership Development, Industrial and Organizational Psychology, Intercultural Competence, Conflict Management","1,407",Business
https://www.coursera.org/learn/investigacion-de-mercados,Investigación de mercados y comportamiento del consumidor,IE Business School,"25,050",4.5,Beginner level,,"Experimentation, Target Market, Data Collection, Survey Creation, Marketing Psychology, Marketing Strategies, Market Data, Research Design, B2B Sales, Marketing, Consumer Behaviour, Data Analysis, Market Research, Decision Making",749,Business
https://www.coursera.org/learn/financer-un-projet,Financer un projet à impact,ESSEC Business School,,,Intermediate level,2 weeks to complete,"Business Development, Sales Presentations, Investment Banking, Feasibility Studies, Financial Analysis, Business Planning, Needs Assessment, Budgeting, Project Finance, Fundraising, Presentations, Due Diligence, Stakeholder Engagement, Social Impact, Proposal Development",,Business
https://www.coursera.org/learn/digital-business-models,Digital Business Models,Lund University,"51,842",4.6,Beginner level,1 week at 10 hours a week,"Digital Transformation, Network Analysis, E-Commerce, Innovation, Business Strategy, Decision Making, Case Studies, Business Modeling, Value Propositions, Software Development, Strategic Thinking, Business Process",572,Business
https://www.coursera.org/learn/using-design-to-generate-innovative-business-solutions,Using Design to Generate Innovative Business Solutions,"Parsons School of Design, The New School",,4.6,Intermediate level,2 weeks to complete,"Customer experience improvement, User Experience, Business Solutions, Sustainable Business, Prototyping, Innovation, Value Propositions, Business Modeling, Design, Consumer Behaviour, Design Thinking, Sales Process, Growth Strategies",13,Business
https://www.coursera.org/learn/ai-governance,AI Governance,"Saïd Business School, University of Oxford","7,249",4.9,Beginner level,2 weeks to complete,"Ethical Standards And Conduct, Artificial Intelligence, Technology Strategies, Artificial Intelligence and Machine Learning (AI/ML), Business Leadership, Business Ethics, Risk Management, Governance, Organizational Strategy, Law, Regulation, and Compliance, Agentic systems, Information Management, Responsible AI, Compliance Management, Data Ethics, Generative AI Agents, Enterprise Risk Management (ERM), AI Security, Information Privacy",93,Business
