url,title,partner,enroll,rating,level,duration,skills,reviews
https://www.coursera.org/learn/solidworks-revolution-and-cut-features,SOLIDWORKS Revolution and Cut Features,Dassault Systèmes,"2,398",5.0,Beginner level,,"Computer-Aided Design, 3D Modeling, Mechanical Design, Technical Design",26
https://www.coursera.org/learn/electrodynamics-solutions-maxwells-equations,Electrodynamics: In-depth Solutions for Maxwell’s Equations,Korea Advanced Institute of Science and Technology(KAIST),"8,405",4.8,Advanced level,2 weeks to complete,"Engineering Analysis, Electrical Engineering, Differential Equations, Advanced Mathematics, Electronic Components, Electrical Systems, Physics",119
https://www.coursera.org/learn/corrosion,Protecting the World: Introducing Corrosion Science and Engineering,University of Manchester   ,"25,296",4.6,Intermediate level,1 week at 10 hours a week,"Environmental Engineering, Chemistry, Process Engineering, Engineering, Engineering Calculations, Engineering Design Process, Laboratory Testing, Oil and Gas, Materials science, Industrial Design, Environmental Issue, Failure Analysis, Chemical Engineering",954
https://www.coursera.org/learn/modelling-analysis-and-design-of-steel-buildings,"Modelling, Analysis and Design of Steel Buildings",L&T EduTech,"2,642",5.0,Intermediate level,1 week to complete,"Failure Analysis, Engineering Design Process, Structural Engineering, Construction, Building Design, Structural Analysis, Engineering Calculations, Engineering Software, Computer-Aided Design, Engineering Analysis, Architectural Engineering",24
https://www.coursera.org/learn/dsp1,Digital Signal Processing 1: Basic Concepts and Algorithms,École Polytechnique Fédérale de Lausanne,"60,871",4.5,Intermediate level,3 weeks at 10 hours a week,"Telecommunications, Linear Algebra, Electrical Engineering, Time Series Analysis and Forecasting, Algorithms, Electronics, Communication Systems, Digital Signal Processing, Mathematical Modeling, Programming Principles",641
https://www.coursera.org/learn/basic-chemistry,Introduction to Chemistry:  Structures and Solutions,Duke University,"70,418",4.7,Beginner level,2 weeks at 10 hours a week,"Physical Science, Systems Of Measurement, Scientific Methods, Chemistry, Laboratory Research, Mathematical Modeling, Thermal Management",563
https://www.coursera.org/learn/mechanics2,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,Georgia Institute of Technology,"37,849",4.8,,,"Torque (Physics), Engineering Design Process, Mechanical Design, Engineering, Mechanical Engineering, Structural Engineering, Structural Analysis, Engineering Calculations, Mechanics, Engineering Analysis","1,018"
https://www.coursera.org/learn/gis-data-acquisition-map-design,GIS Data Acquisition and Map Design,University of Toronto,"34,091",4.9,Beginner level,2 weeks at 10 hours a week,"Data Import/Export, Geospatial Mapping, Data Mapping, Data Modeling, Spatial Data Analysis, Quantitative Research, Typography, Data Visualization, Metadata Management, Spatial Analysis, Design Elements And Principles, Data Manipulation",725
https://www.coursera.org/learn/decision-making-and-governance-of-natural-disaster-risk,Decision Making and Governance of Natural Disaster Risk,Banco Interamericano de Desarrollo,"7,274",4.7,Advanced level,,"Financial Analysis, Business Priorities, Investment Management, Business Risk Management, Public Policies, Cost Benefit Analysis, Project Risk Management, Risk Mitigation, Risk Management, Risk Analysis, Governance, Decision Making, Feasibility Studies",95
https://www.coursera.org/learn/quantitative-methods,Quantitative Methods,University of Amsterdam,"159,542",4.7,,3 weeks to complete,"Social Sciences, Sampling (Statistics), Science and Research, Experimentation, Ethical Standards And Conduct, Research, Research Design, Quantitative Research, Scientific Methods, Research Methodologies, Surveys","2,403"
https://www.coursera.org/learn/spatial-analysis-satellite-imagery-in-a-gis,Spatial Analysis and Satellite Imagery in a GIS,University of Toronto,"33,014",4.9,Beginner level,1 week at 10 hours a week,"Image Analysis, Geospatial Information and Technology, Data Manipulation, Spatial Analysis, Spatial Data Analysis, Geospatial Mapping, GIS Software",628
https://www.coursera.org/specializations/advanced-spacecraft-dynamics-control,Advanced Spacecraft Dynamics and Control Specialization,University of Colorado Boulder,,4.8,Advanced level,2 months to complete,"Angular, Applied Mathematics, Calculus, Control Systems, Differential Equations, Engineering Analysis, Engineering Calculations, Finite Element Methods, Linear Algebra, Mathematical Modeling, Mechanical Engineering, Mechanics, Simulation and Simulation Software, Simulations, Torque (Physics), Vibrations",16
https://www.coursera.org/learn/introduction-embedded-systems,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,"140,804",4.5,Intermediate level,,"Development Environment, Software Configuration Management, Version Control, Software Development Tools, Embedded Systems, Software Design, Computer Architecture, Debugging, Software Technical Review, Hardware Architecture",647
https://www.coursera.org/learn/rocket-science-in-everyday-life,Rocket Science in Everyday Life,University of Michigan,,5.0,Beginner level,1 week to complete,"Science and Research, Analysis, Physical Science, Research, Emerging Technologies, Environmental Monitoring, Environment, Scientific Methods, Climate Change Programs, Global Positioning Systems",14
https://www.coursera.org/learn/organic-chemistry,有机化学,Xi'an Jiaotong University,"15,304",4.4,,3 weeks to complete,"Chemistry, Biochemistry, Analytical Chemistry, Pharmaceuticals, Physical Science, Structural Analysis",83
